as_of_date,risk_free_rate
11/28/2022,4.41
11/29/2022,4.38
11/30/2022,4.37
12/1/2022,4.33
12/2/2022,4.34
12/5/2022,4.36
12/6/2022,4.37
12/7/2022,4.29
12/8/2022,4.28
12/9/2022,4.31
12/12/2022,4.38
12/13/2022,4.35
12/14/2022,4.33
12/15/2022,4.34
12/16/2022,4.31
12/19/2022,4.37
12/20/2022,4.35
12/21/2022,4.33
12/22/2022,4.35
12/23/2022,4.34
12/26/2022,4.34
12/27/2022,4.46
12/28/2022,4.46
12/29/2022,4.45
12/30/2022,4.42
1/2/2023,4.42
1/3/2023,4.53
1/4/2023,4.55
1/5/2023,4.66
1/6/2023,4.67
1/9/2023,4.7
1/10/2023,4.73
1/11/2023,4.72
1/12/2023,4.66
1/13/2023,4.67
1/16/2023,4.67
1/17/2023,4.71
1/18/2023,4.69
1/19/2023,4.71
1/20/2023,4.72
1/23/2023,4.73
1/24/2023,4.72
1/25/2023,4.72
1/26/2023,4.71
1/27/2023,4.73
1/30/2023,4.72
1/31/2023,4.7
2/1/2023,4.66
2/2/2023,4.66
2/3/2023,4.7
2/6/2023,4.71
2/7/2023,4.71
2/8/2023,4.72
2/9/2023,4.77
2/10/2023,4.79
2/13/2023,4.81
2/14/2023,4.8
2/15/2023,4.79
2/16/2023,4.84
2/17/2023,4.84
2/20/2023,4.84
2/21/2023,4.86
2/22/2023,4.84
2/23/2023,4.84
2/24/2023,4.86
2/27/2023,4.89
2/28/2023,4.88
3/1/2023,4.9
3/2/2023,4.91
3/3/2023,4.91
3/6/2023,4.93
3/7/2023,5.04
3/8/2023,5.06
3/9/2023,5.05
3/10/2023,5.01
3/13/2023,4.87
3/14/2023,4.88
3/15/2023,4.75
3/16/2023,4.74
3/17/2023,4.52
3/20/2023,4.81
3/21/2023,4.78
3/22/2023,4.79
3/23/2023,4.73
3/24/2023,4.74
3/27/2023,4.91
3/28/2023,4.8
3/29/2023,4.8
3/30/2023,4.97
3/31/2023,4.85
4/3/2023,4.9
4/4/2023,4.88
4/5/2023,4.86
4/6/2023,4.91
4/7/2023,4.95
4/10/2023,5.08
4/11/2023,5.04
4/12/2023,5.02
4/13/2023,5.1
4/14/2023,5.14
4/17/2023,5.21
4/18/2023,5.2
4/19/2023,5.16
4/20/2023,5.12
4/21/2023,5.14
4/24/2023,5.2
4/25/2023,5.12
4/26/2023,5.16
4/27/2023,5.18
4/28/2023,5.1
5/1/2023,5.27
5/2/2023,5.24
5/3/2023,5.26
5/4/2023,5.26
5/5/2023,5.26
5/8/2023,5.31
5/9/2023,5.29
5/10/2023,5.24
5/11/2023,5.2
5/12/2023,5.25
5/15/2023,5.21
5/16/2023,5.23
5/17/2023,5.26
5/18/2023,5.31
5/19/2023,5.29
5/22/2023,5.4
5/23/2023,5.34
5/24/2023,5.37
5/25/2023,5.38
5/26/2023,5.34
5/29/2023,5.34
5/30/2023,5.55
5/31/2023,5.52
6/1/2023,5.5
6/2/2023,5.5
6/5/2023,5.46
6/6/2023,5.44
6/7/2023,5.42
6/8/2023,5.38
6/9/2023,5.37
6/12/2023,5.4
6/13/2023,5.36
6/14/2023,5.36
6/15/2023,5.33
6/16/2023,5.34
6/19/2023,5.34
6/20/2023,5.39
6/21/2023,5.4
6/22/2023,5.4
6/23/2023,5.41
6/26/2023,5.5
6/27/2023,5.44
6/28/2023,5.44
6/29/2023,5.46
6/30/2023,5.43
7/3/2023,5.44
7/4/2023,5.44
7/5/2023,5.44
7/6/2023,5.46
7/7/2023,5.46
7/10/2023,5.48
7/11/2023,5.49
7/12/2023,5.47
7/13/2023,5.47
7/14/2023,5.49
7/17/2023,5.49
7/18/2023,5.49
7/19/2023,5.49
7/20/2023,5.49
7/21/2023,5.5
7/24/2023,5.51
